CustomerID,Age,Gender,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,HoursSpentOnApp,NumberOfDevicesRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderCount,DaySinceLastOrder,CashbackAmount,Churn
56346,29,Male,5,Desktop,1,7.2,2.5,2,3,1,1,8,15,45.2,1
56347,45,Female,36,Mobile,3,20.1,4.8,4,5,3,0,50,2,320.5,0
56348,22,Male,2,Mobile,1,5.0,1.8,1,2,1,1,3,25,10.1,1
56349,39,Female,24,Desktop,2,15.3,3.9,3,4,2,0,35,5,210.9,0
56350,31,Male,12,Mobile,1,8.8,3.0,2,3,1,0,18,10,80.4,0
56351,50,Female,48,Mobile,3,22.5,5.5,4,5,4,0,60,1,400.0,0
56352,25,Male,3,Desktop,2,6.1,2.1,2,3,1,1,5,20,25.6,1
56353,36,Female,20,Mobile,1,9.5,3.5,3,4,2,0,22,8,120.3,0
56354,42,Male,30,Desktop,3,18.0,4.2,4,5,3,0,45,3,280.15,0
56355,28,Female,7,Mobile,2,11.0,2.8,2,3,1,0,10,12,55.8,0
56356,33,Male,15,Mobile,1,7.5,3.1,3,4,2,0,20,6,110.25,0
56357,48,Female,40,Desktop,3,25.0,5.0,4,5,3,0,55,2,380.7,0
56358,23,Male,4,Mobile,1,5.5,1.9,1,2,1,1,2,30,8.5,1
56359,37,Female,22,Mobile,2,13.0,3.7,3,4,2,0,28,7,165.5,0
56360,30,Male,10,Desktop,1,8.0,2.9,2,3,1,0,15,9,70.2,0
56361,55,Female,60,Mobile,3,28.0,6.0,5,5,4,0,70,1,500.0,0
56362,26,Male,6,Mobile,2,10.0,2.3,2,3,1,1,9,18,40.9,1
56363,34,Female,19,Desktop,1,7.8,3.3,3,4,2,0,23,5,135.4,0
56364,40,Male,28,Mobile,3,16.5,4.0,3,5,3,0,40,4,250.2,0
56365,32,Female,13,Mobile,2,12.0,3.0,2,3,1,0,19,11,90.6,0
56366,47,Male,38,Desktop,3,23.5,4.9,4,5,3,0,52,3,350.8,0
56367,27,Female,5,Mobile,1,6.5,2.0,1,2,1,1,4,22,15.5,1
56368,35,Male,16,Mobile,2,9.0,3.2,3,4,2,0,21,8,125.9,0
56369,43,Female,32,Desktop,1,10.5,4.3,3,5,2,0,48,2,300.5,0
56370,30,Male,9,Mobile,3,15.0,2.7,2,3,1,0,12,14,65.7,0
56371,52,Female,45,Mobile,3,26.0,5.3,4,5,4,0,65,1,450.0,0
56372,24,Male,3,Desktop,1,4.8,1.7,1,2,1,1,3,25,12.3,1
56373,38,Female,25,Mobile,2,14.0,3.8,3,4,2,0,30,6,180.75,0
56374,41,Male,29,Desktop,3,17.5,4.1,4,5,3,0,43,3,270.3,0
56375,31,Female,11,Mobile,1,8.5,2.9,2,3,1,0,17,10,75.9,0
56376,49,Male,42,Mobile,3,24.0,5.1,4,5,3,0,58,2,420.5,0
56377,26,Female,4,Mobile,2,7.0,2.2,2,3,1,1,6,19,30.2,1
56378,33,Male,14,Desktop,1,9.8,3.0,3,4,2,0,19,7,105.4,0
56379,36,Female,21,Mobile,3,13.5,3.6,3,4,2,0,27,5,155.8,0
56380,44,Male,35,Desktop,2,19.0,4.5,4,5,3,0,52,3,340.6,0
56381,28,Female,8,Mobile,1,6.0,2.6,2,3,1,0,11,13,50.7,0
56382,35,Male,17,Mobile,3,11.5,3.3,3,4,2,0,24,7,140.2,0
56383,51,Female,46,Desktop,3,27.0,5.4,4,5,4,0,62,1,470.1,0
56384,23,Female,2,Mobile,1,5.2,1.8,1,2,1,1,2,28,9.8,1
56385,37,Male,23,Mobile,2,14.5,3.7,3,4,2,0,29,5,170.9,0
56386,29,Female,7,Desktop,1,8.2,2.5,2,3,1,0,10,12,52.3,0
56387,34,Male,18,Mobile,3,12.8,3.2,3,4,2,0,25,6,155.75,0
56388,53,Female,48,Mobile,3,28.5,5.6,5,5,4,0,68,1,490.0,0
56389,25,Male,5,Mobile,1,7.2,2.1,2,3,1,1,7,18,35.5,1
56390,38,Female,26,Desktop,2,15.5,4.0,3,4,2,0,32,4,195.6,0
56391,30,Male,10,Mobile,1,8.0,2.9,2,3,1,0,15,9,70.2,0
56392,46,Female,39,Mobile,3,23.0,5.0,4,5,3,0,54,2,360.9,0
56393,27,Male,6,Mobile,2,10.2,2.3,2,3,1,1,9,17,42.8,1
56394,32,Female,15,Desktop,1,9.5,3.1,3,4,2,0,20,8,115.4,0
56395,41,Male,30,Mobile,3,17.0,4.2,3,5,3,0,46,3,290.7,0
56396,29,Female,9,Mobile,2,11.8,2.7,2,3,1,0,13,11,60.9,0
56397,48,Male,40,Desktop,3,24.5,5.1,4,5,3,0,57,2,410.5,0
56398,24,Female,3,Mobile,1,5.8,1.9,1,2,1,1,4,24,13.7,1
56399,36,Male,20,Mobile,2,13.0,3.5,3,4,2,0,26,7,160.8,0
56400,40,Female,28,Desktop,1,10.0,4.1,3,5,2,0,42,4,260.4,0
56401,31,Male,12,Mobile,3,14.8,3.0,2,3,1,0,18,10,85.6,0
56402,50,Female,44,Mobile,3,25.5,5.2,4,5,4,0,60,1,440.2,0
56403,26,Male,4,Desktop,2,6.8,2.2,2,3,1,1,5,20,28.5,1
56404,33,Female,17,Mobile,1,9.2,3.3,3,4,2,0,22,6,130.9,0
56405,39,Male,27,Mobile,3,16.0,4.0,3,4,2,0,37,5,225.7,0
56406,30,Female,11,Desktop,2,12.5,2.8,2,3,1,0,16,10,78.5,0
56407,47,Male,37,Mobile,3,22.0,4.9,4,5,3,0,51,3,330.8,0
56408,28,Female,6,Mobile,1,7.5,2.4,2,3,1,1,8,19,40.1,1
56409,35,Male,19,Desktop,2,11.0,3.4,3,4,2,0,23,7,135.5,0
56410,42,Female,33,Mobile,3,18.5,4.4,3,5,3,0,49,2,310.7,0
56411,30,Male,10,Mobile,1,8.5,2.9,2,3,1,0,14,10,68.9,0
56412,53,Female,47,Desktop,3,27.5,5.5,4,5,4,0,63,1,460.5,0
56413,25,Male,3,Mobile,1,5.0,1.7,1,2,1,1,3,26,11.5,1
56414,38,Female,24,Mobile,2,14.0,3.7,3,4,2,0,31,5,185.8,0
56415,41,Male,31,Desktop,3,18.0,4.3,4,5,3,0,47,3,300.7,0
56416,32,Female,13,Mobile,1,8.8,3.0,2,3,1,0,19,9,95.5,0
56417,49,Male,41,Mobile,3,23.8,5.0,4,5,3,0,56,2,405.7,0
56418,27,Female,5,Mobile,2,7.0,2.1,2,3,1,1,7,18,38.7,1
56419,34,Male,16,Desktop,1,9.8,3.2,3,4,2,0,21,6,120.7,0
56420,37,Female,22,Mobile,3,13.5,3.6,3,4,2,0,28,5,170.9,0
56421,43,Male,34,Desktop,2,19.5,4.5,4,5,3,0,50,3,320.8,0
56422,31,Female,12,Mobile,1,8.0,2.9,2,3,1,0,17,11,80.5,0
56423,51,Male,45,Mobile,3,26.5,5.3,4,5,4,0,64,1,480.7,0
56424,25,Female,4,Mobile,1,6.2,1.8,1,2,1,1,4,23,14.9,1
56425,37,Male,25,Desktop,2,14.8,3.9,3,4,2,0,33,6,200.7,0
56426,30,Female,9,Mobile,3,11.5,2.7,2,3,1,0,13,12,62.8,0
56427,48,Male,42,Mobile,3,24.0,5.1,4,5,3,0,58,2,420.5,0
56428,26,Female,4,Mobile,2,7.0,2.2,2,3,1,1,6,19,30.2,1
56429,33,Male,14,Desktop,1,9.8,3.0,3,4,2,0,19,7,105.4,0
56430,36,Female,21,Mobile,3,13.5,3.6,3,4,2,0,27,5,155.8,0
56431,44,Male,35,Desktop,2,19.0,4.5,4,5,3,0,52,3,340.6,0
56432,28,Female,8,Mobile,1,6.0,2.6,2,3,1,0,11,13,50.7,0
56433,35,Male,17,Mobile,3,11.5,3.3,3,4,2,0,24,7,140.2,0
56434,51,Female,46,Desktop,3,27.0,5.4,4,5,4,0,62,1,470.1,0
56435,23,Female,2,Mobile,1,5.2,1.8,1,2,1,1,2,28,9.8,1
56436,37,Male,23,Mobile,2,14.5,3.7,3,4,2,0,29,5,170.9,0
56437,29,Female,7,Desktop,1,8.2,2.5,2,3,1,0,10,12,52.3,0
56438,34,Male,18,Mobile,3,12.8,3.2,3,4,2,0,25,6,155.75,0
56439,53,Female,48,Mobile,3,28.5,5.6,5,5,4,0,68,1,490.0,0
56440,25,Male,5,Mobile,1,7.2,2.1,2,3,1,1,7,18,35.5,1
56441,38,Female,26,Desktop,2,15.5,4.0,3,4,2,0,32,4,195.6,0
56442,30,Male,10,Mobile,1,8.0,2.9,2,3,1,0,15,9,70.2,0
56443,46,Female,39,Mobile,3,23.0,5.0,4,5,3,0,54,2,360.9,0
56444,27,Male,6,Mobile,2,10.2,2.3,2,3,1,1,9,17,42.8,1
56445,32,Female,15,Desktop,1,9.5,3.1,3,4,2,0,20,8,115.4,0
56346,42,Male,24,Desktop,2,8.5,4.0,2,5,2,0,30,2,250.0,0
56347,31,Female,5,Mobile,3,22.1,2.0,4,2,1,1,5,15,50.0,1
56348,29,Male,12,Mobile,1,12.3,3.0,3,3,2,0,22,7,120.0,0
56349,50,Female,36,Desktop,2,7.0,4.5,2,5,3,0,45,1,400.0,0
56350,22,Male,3,Mobile,3,18.7,2.5,3,3,1,1,8,10,60.0,1
56351,38,Female,18,Mobile,1,9.2,3.8,4,4,2,0,28,3,180.0,0
56352,30,Male,7,Desktop,2,14.5,2.2,3,2,1,0,12,6,90.0,0
56353,45,Female,30,Mobile,3,11.0,4.2,2,5,2,0,35,2,300.0,0
56354,27,Male,6,Mobile,1,19.8,1.8,4,1,1,1,3,20,30.0,1
56355,33,Female,15,Desktop,2,8.0,3.9,3,4,2,0,25,4,150.0,0
56356,21,Male,4,Mobile,3,25.0,2.8,3,2,1,0,7,9,70.0,0
56357,35,Female,20,Mobile,1,10.5,4.1,4,5,2,0,32,3,220.0,0
56358,48,Male,32,Desktop,2,6.5,4.3,2,4,3,0,40,1,350.0,0
56359,23,Female,2,Mobile,3,21.0,1.5,3,1,1,1,2,25,20.0,1
56360,37,Male,10,Mobile,1,16.0,3.2,3,3,2,0,18,6,110.0,0
56361,28,Female,9,Desktop,2,13.0,3.7,4,4,1,0,20,5,130.0,0
56362,41,Male,28,Mobile,3,9.5,4.0,2,5,2,0,38,2,280.0,0
56363,26,Female,7,Mobile,1,17.5,2.0,3,2,1,1,6,12,75.0,1
56364,32,Male,13,Desktop,2,11.5,3.5,3,3,2,0,24,4,140.0,0
56365,49,Female,35,Mobile,3,5.0,4.7,2,5,3,0,42,1,380.0,0
56366,24,Male,5,Mobile,1,20.0,2.1,4,2,1,0,9,8,80.0,0
56367,30,Female,16,Desktop,2,9.0,3.9,3,4,2,0,26,3,160.0,0
56368,43,Male,25,Mobile,3,10.0,4.1,2,5,2,0,36,2,260.0,0
56369,20,Female,1,Mobile,1,23.0,1.2,3,1,1,1,1,30,10.0,1
56370,34,Male,11,Desktop,2,15.5,3.0,4,3,2,0,19,5,115.0,0
56371,46,Female,31,Mobile,3,7.5,4.2,2,4,3,0,39,1,320.0,0
56372,29,Male,8,Mobile,1,18.0,2.5,3,2,1,0,14,7,105.0,0
56373,36,Female,19,Desktop,2,10.8,3.8,3,5,2,0,29,2,190.0,0
56374,40,Male,22,Mobile,3,12.0,4.0,2,5,2,0,33,3,240.0,0
56375,25,Female,4,Mobile,1,19.0,1.9,4,1,1,1,4,15,55.0,1
56376,31,Male,14,Desktop,2,8.5,3.6,3,4,2,0,23,4,145.0,0
56377,47,Female,33,Mobile,3,5.5,4.6,2,5,3,0,41,1,360.0,0
56378,22,Male,3,Mobile,1,22.5,2.3,3,2,1,0,6,10,70.0,0
56379,39,Female,21,Desktop,2,10.2,3.9,4,4,2,0,31,3,210.0,0
56380,28,Male,7,Mobile,3,17.0,2.8,3,3,1,0,13,6,95.0,0
56381,42,Female,26,Mobile,1,9.8,4.2,2,5,2,0,37,2,270.0,0
56382,23,Male,2,Desktop,2,24.0,1.6,3,1,1,1,3,18,40.0,1
56383,35,Female,17,Mobile,3,11.2,3.7,4,4,2,0,27,4,170.0,0
56384,51,Male,38,Desktop,1,4.0,4.9,2,5,3,0,48,1,420.0,0
56385,26,Female,6,Mobile,2,19.5,2.4,3,2,1,0,10,7,85.0,0
56386,33,Male,12,Desktop,3,13.5,3.5,3,3,2,0,21,5,135.0,0
56387,40,Female,23,Mobile,1,10.5,4.0,4,5,2,0,34,2,230.0,0
56388,21,Male,1,Mobile,2,25.5,1.3,3,1,1,1,2,22,35.0,1
56389,37,Female,15,Desktop,3,9.5,3.8,3,4,2,0,25,3,155.0,0
56390,44,Male,29,Mobile,1,8.0,4.3,2,5,3,0,38,1,290.0,0
56391,27,Female,5,Mobile,2,20.5,2.2,4,2,1,1,7,11,75.0,1
56392,30,Male,10,Desktop,3,15.0,3.3,3,3,2,0,17,5,105.0,0
56393,41,Female,24,Mobile,1,11.5,4.1,2,4,2,0,32,3,205.0,0
56394,25,Male,4,Mobile,2,18.5,1.9,3,1,1,1,3,14,45.0,1
56395,38,Female,20,Desktop,3,8.8,4.0,3,5,2,0,30,2,195.0,0
56396,45,Male,28,Mobile,1,10.0,4.3,2,5,3,0,39,1,310.0,0
56397,22,Female,2,Mobile,2,23.5,1.5,3,1,1,1,2,20,30.0,1
56398,32,Male,11,Desktop,3,14.0,3.2,4,3,2,0,18,6,120.0,0
56399,48,Female,36,Mobile,1,6.0,4.7,2,5,3,0,45,1,400.0,0
56400,29,Male,8,Mobile,2,17.5,2.6,3,2,1,0,15,7,110.0,0
56401,34,Female,16,Desktop,3,9.0,3.9,3,4,2,0,26,3,165.0,0
56402,43,Male,25,Mobile,1,10.0,4.1,2,5,2,0,37,2,275.0,0
56403,20,Female,1,Mobile,2,24.0,1.1,3,1,1,1,1,25,25.0,1
56404,31,Male,9,Desktop,3,15.5,3.0,4,3,2,0,19,5,125.0,0
56405,46,Female,30,Mobile,1,7.0,4.5,2,5,3,0,40,1,340.0,0
56406,28,Male,7,Mobile,2,18.0,2.5,3,3,1,0,14,6,100.0,0
56407,35,Female,18,Desktop,3,10.5,3.7,3,4,2,0,28,3,185.0,0
56408,40,Male,22,Mobile,1,12.0,4.0,2,5,2,0,33,2,245.0,0
56409,26,Female,5,Mobile,2,20.0,2.1,4,2,1,1,8,9,80.0,1
56410,33,Male,14,Desktop,3,8.0,3.6,3,4,2,0,24,4,150.0,0
56411,47,Female,31,Mobile,1,5.5,4.6,2,5,3,0,39,1,330.0,0
56412,22,Male,3,Mobile,2,22.0,2.3,3,2,1,0,6,10,75.0,0
56413,39,Female,21,Desktop,3,10.2,3.9,4,4,2,0,31,3,215.0,0
56414,29,Male,8,Mobile,1,17.0,2.8,3,3,1,0,13,6,95.0,0
56415,42,Female,26,Mobile,2,9.8,4.2,2,5,2,0,37,2,270.0,0
56416,23,Male,2,Desktop,3,24.0,1.6,3,1,1,1,3,18,40.0,1
56417,35,Female,17,Mobile,1,11.2,3.7,4,4,2,0,27,4,170.0,0
56418,51,Male,38,Desktop,2,4.0,4.9,2,5,3,0,48,1,420.0,0
56419,26,Female,6,Mobile,3,19.5,2.4,3,2,1,0,10,7,85.0,0
56420,33,Male,12,Desktop,1,13.5,3.5,3,3,2,0,21,5,135.0,0
56421,40,Female,23,Mobile,2,10.5,4.0,4,5,2,0,34,2,230.0,0
56422,21,Male,1,Mobile,3,25.5,1.3,3,1,1,1,2,22,35.0,1
56423,37,Female,15,Desktop,1,9.5,3.8,3,4,2,0,25,3,155.0,0
56424,44,Male,29,Mobile,2,8.0,4.3,2,5,3,0,38,1,290.0,0
56425,27,Female,5,Mobile,3,20.5,2.2,4,2,1,1,7,11,75.0,1
56426,30,Male,10,Desktop,1,15.0,3.3,3,3,2,0,17,5,105.0,0
56427,41,Female,24,Mobile,2,11.5,4.1,2,4,2,0,32,3,205.0,0
56428,25,Male,4,Mobile,3,18.5,1.9,3,1,1,1,3,14,45.0,1
56429,38,Female,20,Desktop,1,8.8,4.0,3,5,2,0,30,2,195.0,0
56430,45,Male,28,Mobile,2,10.0,4.3,2,5,3,0,39,1,310.0,0
56431,22,Female,2,Mobile,3,23.5,1.5,3,1,1,1,2,20,30.0,1
56432,32,Male,11,Desktop,1,14.0,3.2,4,3,2,0,18,6,120.0,0
